#Read position (bp)	Clipping profile
188.0	0.25260498894853173
189.0	0.26839280075781496
190.0	0.25260498894853173
191.0	0.15787811809283234
192.0	0.0947268708556994
193.0	0.0947268708556994
194.0	0.0947268708556994
195.0	0.1420903062835491
196.0	0.1420903062835491
197.0	0.11051468266498263
198.0	0.06315124723713293
199.0	0.06315124723713293
200.0	0.07893905904641617
201.0	0.07893905904641617
202.0	0.07893905904641617
203.0	0.0947268708556994
204.0	0.0947268708556994
205.0	0.0947268708556994
206.0	0.06315124723713293
207.0	0.06315124723713293
208.0	0.06315124723713293
209.0	0.06315124723713293
210.0	0.07893905904641617
211.0	0.07893905904641617
212.0	0.07893905904641617
213.0	0.0473634354278497
214.0	0.06315124723713293
215.0	0.07893905904641617
216.0	0.12630249447426586
217.0	0.11051468266498263
218.0	0.11051468266498263
219.0	0.1420903062835491
220.0	0.15787811809283234
221.0	0.17366592990211557
222.0	0.20524155352068205
223.0	0.20524155352068205
224.0	0.29996842437638144
225.0	0.3157562361856647
226.0	1.010419955794127
227.0	1.1051468266498263
228.0	1.1209346384591095
229.0	1.1051468266498263
230.0	1.1209346384591095
231.0	1.1209346384591095
232.0	1.1682980738869593
233.0	1.1682980738869593
234.0	1.2472371329333753
235.0	1.2946005683612252
236.0	1.3261761919797914
237.0	1.3103883801705085
238.0	1.3419640037890748
239.0	1.7998105462582885
240.0	1.8945374171139882
241.0	1.8787496053047046
242.0	1.8945374171139882
243.0	1.9261130407325546
244.0	1.9419008525418378
245.0	1.8471739816861381
246.0	1.831386169876855
247.0	1.8945374171139882
248.0	1.9576886643511209
249.0	2.0524155352068205
250.0	2.0524155352068205
