logFC	logCPM	PValue	FDR
Saci_0327	-0.70362546855661	7.52277932491506	0.0368693374200607	0.170284893293583
Saci_1415	-0.681318348979865	8.83711572452365	0.0370932477534605	0.170525902866603
Saci_0933	-0.632223680810479	10.3730529422541	0.0373545398483357	0.170935751471877
Saci_1641	0.674134931619251	12.8692138889732	0.0385792543633189	0.175730273315485
Saci_1757	0.754708998642447	7.73311282764533	0.0388867021345624	0.176321895980002
Saci_1193	0.679907936276383	10.6098851767519	0.0392297634470014	0.176457951917952
Saci_1672	-0.663178917274049	9.82143928563677	0.0392721121589803	0.176457951917952
Saci_0372	-0.641954711649297	10.5119382161268	0.0396916907368768	0.177225681240167
Saci_1477	-0.685336619459916	9.41113487389235	0.0397999264013669	0.177225681240167
Saci_0380	-0.66800953182304	10.590833924297	0.0403907021803598	0.178437535988994
Saci_2228	-0.647127707075933	13.1515566389618	0.0404557782398247	0.178437535988994
Saci_1541	-0.614949059567909	9.4107097256379	0.0406111612623492	0.178437535988994
Saci_1271	-0.726495950144117	7.99740502933979	0.0417958817764061	0.182833967418376
Saci_1573	-0.817428778961726	10.6515876977009	0.042031314780247	0.183057436740286
Saci_1192	-0.642349332047385	10.0759798915955	0.0425285817325531	0.18441433039487
Saci_1701	0.744277941208559	7.70791621676921	0.043593573751642	0.188210516240785
Saci_1289	-0.638193477847438	11.6235830623571	0.0439529585123239	0.188940639838691
Saci_0302	-0.780350325320002	9.11728799240778	0.0443099149269537	0.189654075527866
Saci_2257	0.739616691521173	7.92075140238549	0.0446634395943888	0.190346761876516
Saci_1944	0.848029552865238	7.56436936583402	0.0449904436247715	0.190920985125633
Saci_1755	0.873469288450058	7.15296555369303	0.0457465919719829	0.19330368437523
Saci_0695	-0.711433935082319	11.4810693238762	0.0465331679752815	0.195794219489214
Saci_1186	0.761574611304324	7.71503762783871	0.0468386625239424	0.196248067030695
Saci_0696	-0.624740073402529	8.9291721164254	0.0472852219021106	0.197286661129394
Saci_0129	-0.670546458606014	9.92902147564151	0.0478038982032292	0.197913846293505
Saci_0303	-0.586522003583909	9.21049052592505	0.0478341622461643	0.197913846293505
Saci_2308	-0.696641784276717	10.5653638737845	0.0485304410208575	0.19913316988899
