logFC	logCPM	PValue	FDR
Saci_2131	-0.735325979506099	9.30035905855205	0.0431030679730283	0.938710946160945
Saci_1399	-0.741793042685031	12.5450933680087	0.0444855998595502	0.938710946160945
Saci_0797	0.855202020212505	11.5845689001788	0.0453636011041775	0.938710946160945
Saci_1572	0.656224663097918	9.26272816867753	0.0477361848520423	0.938710946160945
Saci_0054	-0.967129490538688	7.37108361704716	0.0515302724206468	0.938710946160945
Saci_0766	0.646152106615081	8.76550592170259	0.051782944901953	0.938710946160945
Saci_1885	-0.735937490338139	8.02633546984667	0.0535266312685782	0.938710946160945
Saci_0161	0.602739927536543	8.63204053781639	0.0544069784972871	0.938710946160945
Saci_0818	0.759917035892883	9.99033917554472	0.0550930745930126	0.938710946160945
Saci_0921	-0.641302139710509	12.3615180148926	0.055639784273049	0.938710946160945
Saci_2026	-0.762653447027464	7.38501335520136	0.0571046661454333	0.938710946160945
Saci_1678	-0.804113747907729	6.9324497959888	0.0606692457693725	0.938710946160945
Saci_0148	-0.717569124732018	7.41202237787054	0.0608946228163436	0.938710946160945
Saci_0320	-0.824141343070927	7.6494465567169	0.0617536750599622	0.938710946160945
Saci_2126	-0.779353099560529	7.07375966928533	0.0631003035305524	0.938710946160945
Saci_0116	0.723188359179253	8.18300136759185	0.0632845535867758	0.938710946160945
Saci_1599	-0.709579683078837	11.4121890161509	0.0636429904936471	0.938710946160945
Saci_0236	0.753160509488726	8.22746443643488	0.0656462219873838	0.938710946160945
Saci_0986	0.650167219781156	9.38871120038131	0.068045771454543	0.938710946160945
Saci_0147	-0.60312779098086	8.6632684584068	0.068968064976523	0.938710946160945
Saci_0976	-0.744450206705009	7.09151733865937	0.0701613361899351	0.938710946160945
Saci_1470	0.619223437708163	12.3787968332796	0.0703678546515948	0.938710946160945
Saci_1210	-0.728593333811137	7.44939456128674	0.0727287755183394	0.938710946160945
Saci_0459	0.696400952906882	7.94557929522543	0.0733694891430989	0.938710946160945
Saci_1031	0.550843003659333	10.299230637045	0.0748063768243366	0.938710946160945
Saci_1199	-0.738401425966323	7.58849638587647	0.0751468195187606	0.938710946160945
Saci_0415	0.553540095818576	9.63154143999069	0.075708179341675	0.938710946160945
Saci_2263	-0.629275117755243	9.32919468341266	0.0757232545204193	0.938710946160945
Saci_0897	0.684050569319571	8.38514201044318	0.0788998628536311	0.938710946160945
Saci_0957	0.670263098468471	9.60979321314078	0.0790967307501429	0.938710946160945
